Location,Transect,Quadrat,Record_location,Canopy_cover,Leaf_litter_cover,Live_plant_cover,Species,Age,Condition,Recruitment,Multi_stemmed,Height_(m),Average_height,Height_variation,DBH,Average_DBH,DBH_variation,Cone_presence,Cone_number,Ort_number,Ort_colour,Latitude,Longitude,Year_measured
Deongwar,Db1,20,out,NA,NA,NA,torulosa,sapling,alive,none,0,1.5,NA,NA,6.5,NA,NA,N,0,NA,NA,-27.3177879,152.2247954,2022
Deongwar,DB1,20,out,NA,NA,NA,torulosa,sapling,alive,basal,1,2.5,1.78,0.3952,1.14,1.432,0.075843,N,0,NA,NA,-27.3177879,152.2247954,2022
Deongwar,DB1,30,in,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.53,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.84,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.75,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.74,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.81,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.59,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.6,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.83,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.83,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,mature,dead,basal,1,1.97,3.165,2.85605,1.05,1.75,0.98,N,0,NA,NA,-27.3177847,152.2246938,2022
