"","X","Location","Transect","Quadrat","Record_location","Canopy_cover","Leaf_litter_cover","Live_plant_cover","Species","Age","Condition","Recruitment","Multi_stemmed","Height_.m.","Average_height","Height_variation","DBH","Average_DBH","DBH_variation","Cone_presence","Cone_number","Ort_number","Ort_colour","Latitude","Longitude","Year_measured","Fire_freq","Last_burn","TSF","FPC","Precip","Temp","TWI"
"60",60,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.7,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"61",61,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.95,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"62",62,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.69,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"63",63,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.28,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"64",64,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.8,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"65",65,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.99,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"66",66,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.74,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"67",67,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.55,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"68",68,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.84,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"69",69,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.75,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"70",70,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","mature","dead","none",0,12,NA,NA,48,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"71",71,"Deongwar","Db1",20,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.5,NA,NA,6.5,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"72",72,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","sapling","alive","basal",1,2.5,1.78,0.3952,1.14,1.432,0.075843,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"73",73,"Deongwar","DB1",30,"in",NA,NA,NA,"torulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"74",74,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.53,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"75",75,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.84,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"76",76,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.75,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"77",77,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.74,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"78",78,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.81,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"79",79,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.59,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"80",80,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.6,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"81",81,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.83,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"82",82,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.83,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"83",83,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,1.97,3.165,2.85605,1.05,1.75,0.98,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"84",84,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,1.74,1.855,0.02645,0.573,1.4325,2.7542045,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"85",85,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,2,2.77,2.7598,0.764,1.54375,2.57791825,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
