"Location" "Transect" "Quadrat" "Record_loc" "Canopy_cov" "Leaf_litter_cov" "Live_cov" "Species" "Age" "Condition" "Recruitment" "Multi-stemmed" "Height_m" "Average_height" "Height_variation" "DBH" "Average_DBH" "DBH_variation" "Cone_pres" "Cone_num" "Ort_num" "Ort_col" "Longitude" "Latitude" "Year_measured" "Fire_freq" "Year_last_burnt" "TSF" "FPC" "precip"
"37" "Deongwar" "DB1" 20 "in" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.42 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"38" "Deongwar" "DB1" 20 "in" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.49 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"39" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.63 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"40" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.93 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"41" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.54 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"42" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.67 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"43" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.56 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"44" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.71 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"45" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.58 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"46" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.62 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"47" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.49 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"48" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.48 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"49" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.51 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"50" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.52 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"51" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.53 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"52" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.81 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"53" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.74 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"54" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.65 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"55" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.34 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"56" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.53 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"57" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.62 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"58" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.5 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"59" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.43 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"60" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.7 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"61" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.95 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
"62" "Deongwar" "DB1" 20 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.69 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2247954 2022 3 2019 4 56.2666665818956 49.2017135620117
