"","Species","Group","Treatment","Set","Individual","X.ray_proportion_viable","TTC_proportion_viable","TTC_num_viable","Total_seeds","Total_germination","Time_to_germ","Time_to_finish","Day01","Day02","Day03","Day04","Day05","Day06","Day07","Day08","Day09","Day10","Day11","Day12","Day13","Day14","Day15","Day16","Day17","Day18","Day19","Day20","Day21","Day22","Day23","Day24","Day25","Day26","Day27","Day28","Day29","Day30","Day31","Day32","Day33","Day34","Day35","Day36","Day37","Day38","Day39","Day40","Day41","Day42","Day43","Day44","Day45","Day46","Day47","Day48","Day49","Day50","Day51","Day52","Day53","Day54","Day55","Day56","Day57","Day58","Day59","Day60","Day61","Proportion_germ","Perc50","t50","firstgerm","lastgerm","timespread","Latitude","Collection_year","seed_weight","seed_wt_mg","Fire_freq","Last_fire","TSF","FPC","Precip","Temp"
"170","littoralis","NA","95+smoke",2,"WPS107",0.78,0.8,0,20,16,10,15,0,0,0,0,0,0,0,0,0,0.55,0.55,0.55,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,10,10,0,0,-27.70778,2023,0.00204,2.04,0,1986,37,36.5277786254883,47.0210914611816,426.675842285156
"171","littoralis","NA","95+smoke",2,"WPS108",0.91,1,0,20,20,10,13,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,10,10,0,0,-27.70752,2023,0.00207,2.07,0,1986,37,39.3444442749023,47.0210914611816,426.675842285156
"172","littoralis","NA","95+smoke",2,"WPS110",0.95,0.8,0,20,16,10,15,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.65,0.65,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,10,10,0,0,-27.70735,2023,0.00201,2.01,0,1986,37,40.7444458007812,47.0210914611816,426.675842285156
"173","littoralis","NA","95+smoke",2,"WPS127",0.95,0.75,1,20,14,10,22,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,11,10,0,0,-28.23792,2023,0.00242,2.42,4,2020,3,48.3666648864746,48.6815795898438,396.284606933594
"174","littoralis","NA","95+smoke",2,"WPS135",0.75,0.65,0,20,13,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.6,0.6,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,13,13,0,0,-28.23819,2023,0.00189,1.89,0,2004,19,26.5842304229736,49.6796493530273,398.963623046875
"175","littoralis","NA","95+smoke",2,"WPS141",0.84,0.9,0,20,18,10,13,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.45,11,10,0,0,-28.24,2023,0.00192,1.92,0,2003,20,43.7944450378418,49.6796493530273,398.963623046875
"176","littoralis","NA","95+smoke",2,"WPS143",0.96,0.9,0,20,18,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.45,13,13,0,0,-28.24011,2023,0.00224,2.24,0,1999,24,39.9111099243164,49.6796493530273,398.963623046875
"177","littoralis","NA","95+smoke",2,"WPS151",0.73,0.85,0,20,17,10,13,0,0,0,0,0,0,0,0,0,0.45,0.45,0.45,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.425,10,10,0,0,-28.28317,2023,0.0017,1.7,3,2020,3,40.6666679382324,48.0660629272461,394.527893066406
"178","littoralis","NA","95+smoke",2,"WPS152",0.72,0.7,0,20,14,10,15,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.55,0.55,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.35,12,10,0,0,-28.28354,2023,0.00212,2.12,3,2020,3,40.4833335876465,48.0660629272461,394.527893066406
"179","littoralis","NA","95+smoke",2,"WPS156",0.97,0.9,0,20,18,10,13,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.45,10,10,0,0,-28.28347,2023,0.00218,2.18,3,2020,3,40.4833335876465,48.0660629272461,394.527893066406
